prop,verified,time_s
0,1,5.1
1,1,4.9
2,DNF,10000.6
3,1,34.0
4,DNF,10000.5
5,DNF,10000.3
6,1,8558.5
7,DNF,10000.4
8,DNF,10001.4
9,1,5131.9
