prop,verified,time_s
0,1,21.2
1,DNF,20000.9
2,DNF,20000.7
3,1,68.0
4,1,104.9
5,DNF,20002.2
6,0,13968.1
7,DNF,20000.4
8,DNF,20002.0
9,DNF,20001.0
10,1,40.6
11,DNF,20001.5
12,1,49.8
13,1,37.4
14,DNF,20000.9
15,1,2528.3
16,1,22.1
17,1,17.6
18,DNF,20001.3
19,1,83.4
